0,1,2,3,4,5,6,7,8,9
40,53,61,143,130,44,53,50,22,20
19,27,29,58,73,25,34,22,5,9
13,42,44,95,69,26,54,25,14,8
10,32,21,79,63,27,34,27,12,11
4,11,11,32,39,12,21,7,2,2
5,9,6,14,16,6,8,5,6,4
0,1,0,3,5,1,3,1,0,0
8,3,4,20,15,6,8,2,4,0
0,1,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,0,0
0,0,0,1,1,0,0,0,1,0
1,2,1,0,1,0,1,2,0,0
0,0,0,1,2,3,0,1,0,0
1,0,0,2,2,2,1,0,0,0
0,0,1,3,2,0,0,1,0,0
0,1,0,2,1,1,1,1,0,0
0,1,1,1,1,0,2,1,0,0
0,0,1,0,1,2,1,1,0,0
0,0,0,0,0,1,0,0,0,0
0,0,1,3,1,0,0,2,0,0
2,1,2,1,0,1,0,1,0,0
0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,2,0,0,1,3,0,0,0
0,2,0,1,1,1,0,0,0,0
0,2,1,1,1,0,3,1,1,0
0,0,0,0,1,0,0,0,0,0
1,1,0,1,1,0,2,0,0,0
0,1,2,3,0,1,1,0,0,0
6,19,19,33,27,17,12,6,6,4
3,3,1,5,7,2,2,1,0,0
10,16,16,45,26,14,10,11,5,0
2,0,0,4,3,2,2,1,2,0
4,7,5,16,7,2,3,7,2,2
2,2,2,13,10,0,4,0,0,1
9,14,20,42,36,14,25,12,6,1
10,27,24,60,47,22,31,18,7,5
15,31,15,51,49,15,23,15,3,5
2,4,8,22,21,6,10,4,5,1
6,7,9,16,22,7,9,0,2,2
6,5,3,22,21,7,10,2,3,0
6,14,17,32,26,5,10,6,5,0
3,10,9,22,17,7,5,7,2,1
0,1,1,6,6,0,1,1,0,0
0,0,3,7,3,6,4,1,1,0
0,1,0,1,1,1,0,1,0,0
4,5,8,9,8,4,9,3,2,0
2,0,0,4,3,0,2,0,0,0
2,3,5,11,4,1,2,1,0,0
0,1,4,2,1,0,0,1,0,0
0,0,0,2,4,2,0,1,0,0
0,0,0,0,0,1,1,1,0,0
