0,1,2,3,4,5,6,7,8,9,10
306,116,16,86,24,13,108,10,22,13,17
12,84,2,3,0,0,4,1,64,32,1
6,1,0,73,1,59,0,37,14,5,54
21,15,1,2,72,70,29,88,1,74,4
0,1,88,6,57,3,6,2,45,15,41
0,1,7,1,2,2,0,2,1,0,4
0,1,68,1,0,4,1,8,0,0,0
0,2,3,2,1,1,0,1,5,0,1
0,0,0,1,0,1,0,0,3,0,0
0,0,0,0,0,1,0,0,0,1,0
1,0,0,1,1,0,0,0,1,0,0
0,1,0,0,0,0,0,0,1,0,1
1,1,0,0,1,0,0,1,0,0,0
0,1,1,0,1,0,0,0,0,0,0
1,0,1,0,0,1,0,1,0,0,0
1,1,0,2,3,0,0,1,1,0,0
0,0,1,2,0,0,0,0,0,1,1
0,0,1,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,1,1,1,1,0,1,0
1,1,0,0,1,0,2,1,0,0,1
1,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,1,0,0,2
1,0,1,1,1,0,4,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0
1,0,2,1,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,1,0,29,0,0,0,0
0,0,1,2,0,0,3,0,0,0,0
0,0,1,3,0,0,5,0,1,1,0
2,1,1,24,0,2,66,1,0,0,0
21,1,0,91,0,0,2,2,0,2,0
3,0,0,36,0,1,21,1,2,11,2
203,8,0,1,1,3,3,28,0,38,0
69,4,0,1,1,34,3,3,0,47,0
2,0,1,6,2,73,0,52,0,3,1
0,59,1,3,1,6,0,1,1,1,0
0,3,1,1,1,3,0,34,10,1,0
0,102,2,0,0,4,0,3,36,13,1
0,3,1,2,1,18,0,1,66,3,16
0,1,1,0,12,1,0,0,25,1,39
1,5,1,0,49,2,2,0,0,1,4
1,3,13,0,5,2,1,0,1,0,1
0,15,66,0,6,1,0,0,0,2,28
0,1,72,0,3,1,1,6,1,0,2
1,2,0,0,2,1,0,0,1,0,18
0,0,5,0,1,0,0,0,0,0,0
1,1,8,1,1,0,1,0,1,1,0
1,4,0,1,50,0,0,0,2,1,3
1,0,1,0,2,1,0,1,0,1,1
0,0,0,0,2,0,0,0,1,0,0
1,0,0,0,2,1,0,0,0,0,0
