m,f
812,875
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3
140,142
370,399
247,275
48,42
4,13
2,4
2,1
1,1
1,1
1,5
2,0
1,1
1,4
1,4
3,4
1,0
5,4
3,4
9,10
87,82
114,141
168,198
153,155
63,92
55,48
24,22
8,14
12,15
13,14
10,12
3,11
4,1
1,3
4,5
3,4
