0,1,2,3,4,5,6,7,8,9
2,3,6,12,9,8,14,11,7,5
1,4,7,3,14,5,16,10,6,10
0,3,2,5,6,3,6,7,2,3
0,2,2,6,9,2,7,8,2,3
1,2,3,5,7,3,6,4,1,3
0,0,0,0,2,1,1,1,1,1
0,0,0,2,3,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,1,0
0,0,0,2,2,1,0,2,0,0
0,0,0,0,0,0,3,0,0,1
1,1,1,5,4,3,3,2,3,5
1,0,0,1,4,0,0,1,0,0
1,2,0,4,2,0,4,1,1,0
0,2,2,3,0,0,2,4,1,0
0,2,2,3,2,0,2,3,0,2
0,0,0,1,0,1,1,2,0,0
0,1,1,5,2,2,3,2,2,0
0,1,0,4,7,1,5,1,1,1
0,0,0,2,1,0,0,0,0,1
1,2,1,3,2,1,2,2,1,0
1,1,0,0,0,2,5,2,3,1
0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0
0,2,2,0,3,0,4,2,1,0
0,0,0,0,2,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0
1,0,0,3,3,4,1,0,1,2
0,0,0,0,0,1,0,0,0,0
0,0,2,4,4,2,2,8,1,0
0,0,0,0,0,0,0,0,0,0
