0,1,2,3,4,5,6,7,8,9,10
312,183,164,144,134,130,125,130,126,128,104
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0
0,0,0,87,0,0,0,0,0,0,0
0,0,0,8,0,0,0,0,0,0,0
0,0,0,42,0,0,0,9,0,0,0
0,0,0,2,0,0,0,53,0,0,0
23,0,0,0,0,0,0,48,0,0,0
12,0,0,0,0,0,0,2,0,0,0
4,0,0,0,0,12,0,0,0,8,0
238,0,0,1,0,73,0,10,11,49,0
7,27,0,4,0,42,18,1,75,52,0
7,5,0,0,0,3,87,0,5,12,7
14,132,0,1,0,1,25,1,39,2,5
0,6,0,2,0,3,1,1,1,0,4
0,3,14,2,13,0,0,0,3,0,46
0,2,98,0,2,0,0,0,0,4,36
1,21,5,1,62,1,1,0,0,0,2
0,0,40,0,46,0,1,0,0,1,7
0,0,2,0,4,0,0,0,0,0,1
0,1,1,1,0,0,0,0,0,0,0
0,0,2,1,0,0,1,0,0,0,0
0,1,0,2,2,1,1,0,1,1,0
0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0
0,4,0,0,0,0,0,0,2,1,0
1,0,0,0,2,2,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0
0,1,0,1,0,0,1,0,0,0,0
