0,1,2,3,4
180,106,61,17,2
207,131,48,14,6
35,26,19,5,2
38,38,17,4,1
154,106,50,14,4
97,66,24,9,2
1,0,0,0,0
46,34,14,6,1
2,0,0,0,0
22,3,8,3,0
1,0,0,0,0
2,0,0,1,0
0,2,0,0,0
0,0,0,0,0
0,0,1,0,0
1,0,0,0,0
1,0,0,0,0
1,1,0,0,0
3,4,1,0,0
15,10,2,1,0
49,33,13,5,0
2,1,0,0,0
62,32,28,1,1
1,0,0,0,0
11,8,3,2,1
9,14,4,1,0
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0
0,0,1,0,0
1,3,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,0,0,0,0
11,11,7,3,0
1,1,0,0,0
0,1,1,0,0
1,4,0,0,0
9,6,1,2,0
47,22,6,2,1
43,29,6,2,0
3,2,0,0,0
21,10,8,2,0
22,23,7,4,0
18,17,9,0,1
3,3,1,1,0
0,2,0,0,0
0,0,1,0,0
1,2,2,1,0
2,0,0,0,1
0,0,1,1,0
