m,f
77,66
55,40
4,2
1,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6,5
28,22
41,22
17,11
6,6
5,7
6,1
0,0
4,2
9,5
12,3
1,1
0,0
0,0
0,1
0,0
0,0
2,3
12,8
19,15
12,16
7,13
17,9
8,6
2,1
0,1
1,1
3,1
9,2
6,2
0,0
0,0
0,1
0,0
0,0
