m,f
295,332
332,344
107,108
57,55
9,10
2,2
12,9
5,4
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,2
4,8
2,7
38,31
18,21
76,91
47,53
75,70
77,72
2,3
54,74
17,24
107,127
89,80
61,69
68,71
12,8
11,4
2,3
0,3
2,1
2,2
31,34
23,26
9,6
9,8
22,50
21,24
