m,f
204,256
150,149
31,22
48,55
8,9
1,5
7,2
7,6
248,248
57,51
50,57
10,15
6,2
8,3
4,5
5,5
3,6
2,3
1,2
7,3
3,1
80,71
11,11
30,33
63,74
5,5
11,9
6,1
4,2
2,4
4,2
0,0
0,0
3,2
3,7
0,0
0,2
0,1
3,5
3,6
5,1
9,2
11,11
40,42
19,40
17,3
2,2
1,2
3,2
4,3
0,3
0,1
