0,1,2,3,4,5,6,7,8,9
27,51,51,111,121,40,65,42,12,15
11,17,22,46,29,10,26,19,4,2
15,28,26,70,61,27,28,17,9,10
4,9,9,37,24,10,24,8,6,2
4,2,0,4,6,0,0,1,0,0
6,10,6,29,29,11,16,7,9,3
22,37,43,79,78,36,30,28,15,15
0,0,0,4,6,3,2,1,1,1
2,5,5,16,8,2,5,1,0,0
2,9,6,33,22,6,6,7,3,1
5,2,3,11,14,3,10,3,4,3
0,1,3,1,2,2,1,0,0,1
0,1,0,1,3,0,0,0,0,0
0,0,0,1,1,0,0,2,0,0
0,1,0,1,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0
0,2,0,2,1,1,1,1,0,0
0,1,1,0,3,0,1,0,0,0
0,0,1,1,2,0,0,1,0,0
0,0,0,3,2,1,1,1,0,0
0,0,0,0,3,0,0,0,0,1
1,3,1,2,4,2,7,1,1,0
4,10,6,18,22,2,5,4,2,3
5,3,2,17,14,3,4,1,1,2
0,5,2,3,3,5,3,2,0,1
0,3,3,3,2,0,3,2,1,0
2,3,1,9,10,4,3,2,7,0
5,9,8,22,18,3,11,5,2,2
6,11,12,37,21,10,18,3,1,2
7,8,9,29,20,2,15,5,7,1
2,4,6,15,10,3,6,5,1,1
0,0,2,0,2,2,0,0,0,0
3,2,2,9,3,1,6,1,1,0
0,1,0,2,1,0,0,0,0,0
0,0,0,0,2,2,0,1,0,0
0,0,0,0,2,0,0,0,1,0
0,0,0,2,0,0,0,0,0,0
0,0,0,3,0,0,0,0,1,2
0,1,0,3,4,0,2,0,0,0
0,0,0,0,1,0,2,0,0,0
0,0,0,0,0,0,2,0,0,0
1,0,0,2,1,0,1,0,0,0
0,3,1,9,8,2,1,1,1,1
2,0,1,1,2,0,0,0,1,0
5,2,2,11,12,0,5,3,1,2
2,9,4,11,8,5,2,3,0,1
2,5,6,10,13,2,5,1,1,1
0,2,3,6,3,0,3,2,1,0
4,6,5,13,15,8,4,5,2,0
3,4,8,10,15,7,2,2,0,2
5,4,6,17,14,4,7,6,1,0
10,17,14,36,44,16,20,7,2,1
